modelName,	radius1,	radius2,	delta1,	delta2,	d1,	d2,	d3,	isCross,	                    flowrate,	P_in,	P_out,	T_wall,	T_fluid,	Nu,	friction,	tp,	rela_Nu,                    	rela_f,	rela_tp
model3256,13.548387,14.516129,6.0,12.0,31.555556,32.15873,36.984127,True,0.05025,1.33,0.001227,294.3,293.6,294.03029403,0.0278493491041,10557.8874727,rela_nu,rela_f,rela_tp
model3257,10.322581,15.483871,6.0,10.0,40.0,26.730159,30.952381,False,0.05025,1.423,0.001229,294.2,293.6,343.035343035,0.0297984658968,11511.8457515,rela_nu,rela_f,rela_tp
model3258,11.290323,16.451613,6.0,12.0,40.0,36.984127,36.984127,True,0.05025,0.8936,0.00105,294.2,293.6,343.035343035,0.0187066839429,18337.5815875,rela_nu,rela_f,rela_tp
model3259,14.193548,13.870968,8.0,10.0,33.968254,36.984127,29.746032,False,0.05025,1.26,0.001191,294.2,293.6,343.035343035,0.0263829949107,13002.1380892,rela_nu,rela_f,rela_tp
model3260,14.83871,13.870968,6.0,10.0,31.555556,32.15873,40.0,False,0.05025,2.251,0.001608,294.2,293.6,343.035343035,0.0471443226797,7276.28107771,rela_nu,rela_f,rela_tp
model3261,13.548387,14.83871,10.0,8.0,36.380952,34.571429,27.936508,True,0.05025,1.124,0.001176,294.2,293.6,343.035343035,0.0235329266613,14576.8245477,rela_nu,rela_f,rela_tp
model3262,13.870968,16.451613,6.0,12.0,31.555556,32.15873,36.984127,True,0.05025,1.475,0.001175,294.2,293.6,343.035343035,0.0308894498484,11105.259068,rela_nu,rela_f,rela_tp
model3263,13.870968,16.451613,6.0,10.0,31.555556,32.15873,36.984127,True,0.05025,1.641,0.001223,294.2,293.6,343.035343035,0.034367587335,9981.3623718,rela_nu,rela_f,rela_tp
model3264,13.225806,14.193548,6.0,12.0,40.0,36.984127,36.984127,True,0.05025,1.138,0.0007086,294.3,293.6,294.03029403,0.023836144497,12335.4804326,rela_nu,rela_f,rela_tp
model3265,10.967742,14.193548,6.0,10.0,31.555556,32.15873,35.777778,False,0.05025,1.043,0.00107,294.2,293.6,343.035343035,0.0218374939226,15708.5489869,rela_nu,rela_f,rela_tp
model3266,13.225806,14.193548,6.0,12.0,35.174603,36.984127,29.746032,False,0.05025,1.391,0.001174,294.2,293.6,343.035343035,0.0291289403593,11776.4442786,rela_nu,rela_f,rela_tp
model3267,14.193548,13.870968,8.0,10.0,33.968254,36.984127,26.730159,False,0.05025,1.422,0.001526,294.2,293.6,343.035343035,0.0297712824684,11522.3569357,rela_nu,rela_f,rela_tp
model3268,12.580645,12.258065,6.0,10.0,31.555556,27.333333,26.126984,False,0.05025,1.419,0.001386,294.2,293.6,343.035343035,0.0297113405984,11545.6029963,rela_nu,rela_f,rela_tp
model3269,13.870968,16.451613,8.0,10.0,33.968254,36.984127,29.746032,False,0.05025,1.663,0.001443,294.2,293.6,343.035343035,0.0348240677297,9850.52480652,rela_nu,rela_f,rela_tp
model3270,13.225806,14.193548,6.0,10.0,30.952381,22.507937,32.15873,False,0.05025,1.722,0.001546,294.2,293.6,343.035343035,0.0360584720367,9513.30779314,rela_nu,rela_f,rela_tp
model3271,13.870968,16.451613,6.0,12.0,36.380952,28.539683,37.587302,True,0.05025,1.645,0.001502,294.2,293.6,343.035343035,0.0344455746421,9958.7638354,rela_nu,rela_f,rela_tp
model3272,13.225806,14.193548,6.0,10.0,40.0,26.730159,30.952381,False,0.05025,1.719,0.001089,294.2,293.6,343.035343035,0.0360051740732,9527.39021169,rela_nu,rela_f,rela_tp
model3273,10.967742,14.193548,6.0,10.0,31.555556,32.15873,29.746032,False,0.05025,1.253,0.001233,294.2,293.6,343.035343035,0.0262354037748,13075.283536,rela_nu,rela_f,rela_tp
model3274,10.967742,14.193548,6.0,12.0,40.0,36.984127,36.984127,True,0.05025,0.7392,0.0009526,294.3,293.6,294.03029403,0.0154727026872,19003.1631819,rela_nu,rela_f,rela_tp
model3275,13.548387,14.83871,10.0,8.0,36.380952,32.15873,35.777778,False,0.05025,1.162,0.001202,294.2,293.6,343.035343035,0.0243288121759,14099.9626515,rela_nu,rela_f,rela_tp
model3276,13.870968,12.258065,6.0,10.0,31.555556,34.571429,35.777778,True,0.05025,1.373,0.001134,294.2,293.6,343.035343035,0.0287525221826,11930.6174553,rela_nu,rela_f,rela_tp
