modelName,	radius1,	radius2,	delta1,	delta2,	d1,	d2,	d3,	isCross,	                    flowrate,	P_in,	P_out,	T_wall,	T_fluid,	Nu,	friction,	tp,	rela_Nu,                    	rela_f,	rela_tp
model856,5.37744218645,3.63597998958,5.07105991722,-1.85841595062,19.5445084977,24.1106237999,9.63064685338,False,0.05025,1.794,0.0004923,294.4,293.6,257.276507277,0.0375895823126,6844.35663948,rela_nu,rela_f,rela_tp
model857,4.32078187828,14.8053162444,-1.29769721923,7.3325830111,10.9108962667,34.6543895241,28.0645832252,False,0.05025,3.725,0.0004021,294.2,293.6,343.035343035,0.0780627143911,4394.35581649,rela_nu,rela_f,rela_tp
model858,12.3368814044,14.5345228298,8.72729916827,7.51657617641,34.5140636292,25.9002450214,35.2106731929,True,0.05025,1.796,0.0003255,294.3,293.6,294.03029403,0.0376349956147,7812.6830953,rela_nu,rela_f,rela_tp
model859,13.5615388226,5.49249503502,10.3786624227,1.45878596337,31.5591767114,27.6735511387,14.7424239667,True,0.05025,1.364,0.0004765,294.4,293.6,257.276507277,0.0285776742628,9002.70976955,rela_nu,rela_f,rela_tp
model860,16.0323449953,8.39862447098,7.34610905405,0.983928582945,35.6683885482,22.2454178622,35.5335460587,False,0.05025,4.112,0.0006066,294.2,293.6,343.035343035,0.0861694436153,3980.93951456,rela_nu,rela_f,rela_tp
model861,4.57795631489,5.18576399909,-1.46311082283,0.671808658897,34.9322355645,17.4216038242,39.7927173537,True,0.05025,1.325,0.0002716,294.5,293.6,228.69022869,0.0277645795631,8236.76181268,rela_nu,rela_f,rela_tp
model862,11.3766417118,10.9311466949,9.40284123232,4.17845993778,24.7996721589,35.4889178339,39.9686839685,False,0.05025,1.054,0.0004344,294.4,293.6,257.276507277,0.0220813609236,11651.2975884,rela_nu,rela_f,rela_tp
model863,18.0910933649,4.57373927001,10.397772533,-0.785297554779,33.7264172671,10.8752767707,30.0266719116,True,0.05025,3.795,0.0003486,294.2,293.6,343.035343035,0.0795309443878,4313.23110364,rela_nu,rela_f,rela_tp
model864,15.2272159164,6.99931195955,13.3893970265,5.50213918787,16.8610416817,28.3901208176,29.3528454301,True,0.05025,0.6855,0.0002292,294.4,293.6,257.276507277,0.0143623822429,17913.2196125,rela_nu,rela_f,rela_tp
model865,8.68197992748,16.2683357535,7.63042896942,13.1414988062,22.998341525,23.5461497692,22.1173120422,True,0.05025,0.8005,0.0002798,294.4,293.6,257.276507277,0.0167715717508,15340.0355733,rela_nu,rela_f,rela_tp
model866,3.41914647005,18.3028959186,-2.01341748222,16.0244972855,33.7458060659,38.4131899675,15.0975804137,True,0.05025,1.435,0.0001941,294.4,293.6,257.276507277,0.0300716604008,8555.44734968,rela_nu,rela_f,rela_tp
model867,5.79354460286,8.54295956289,1.42049816268,-0.137543797384,33.4705626574,38.505429553,29.6878866891,True,0.05025,1.99,0.0004328,294.4,293.6,257.276507277,0.0416987337332,6169.88776979,rela_nu,rela_f,rela_tp
model868,18.8706342565,4.86513239737,15.8764283597,4.03321478122,26.6153595411,26.6134994695,26.6319896304,True,0.05025,0.7775,0.0003313,294.4,293.6,257.276507277,0.0162884423744,15795.0343786,rela_nu,rela_f,rela_tp
model869,10.3951524703,3.53462746458,2.35815321749,0.257693929314,33.8514214607,31.3430934962,37.1416039128,True,0.05025,1.412,0.0003768,294.4,293.6,257.276507277,0.0295857812435,8695.95111108,rela_nu,rela_f,rela_tp
model870,7.18294932355,18.6819811216,4.51270577139,15.3794625719,12.7318331272,32.3089616588,34.31714493,True,0.05025,1.065,0.0004083,294.4,293.6,257.276507277,0.0223124535994,11530.6237447,rela_nu,rela_f,rela_tp
model871,13.1983354207,12.8109617578,13.1377347758,3.84276060038,29.5575206539,30.1215701702,19.1079788558,True,0.05025,3.553,-0.000117,294.3,293.7,343.035343035,0.0744686983712,4606.43667122,rela_nu,rela_f,rela_tp
model872,13.9376929453,3.20566012075,10.3135465926,-2.36168712614,38.7580072499,23.3486562818,18.0489198177,True,0.05025,1.35,0.0004345,294.4,293.6,257.276507277,0.0282851327867,9095.82108794,rela_nu,rela_f,rela_tp
model873,4.90455008504,4.83725046167,-2.45786470677,-3.82481033324,37.6978029884,28.9508949385,22.0636270535,False,0.05025,2.586,0.0005212,294.3,293.6,294.03029403,0.0541882636858,5426.08812372,rela_nu,rela_f,rela_tp
model874,4.43141882704,5.19270345516,3.32972274749,-3.17519969229,30.9601115031,17.3899709914,17.7758597112,False,0.05025,5.472,-0.0008275,294.2,293.6,343.035343035,0.114703326779,2990.63115838,rela_nu,rela_f,rela_tp
model875,8.55362277049,6.47437917249,7.33819472739,4.90685225691,33.0536109521,24.1136333722,29.6123295091,False,0.05025,0.5367,0.0002599,294.5,293.6,228.69022869,0.0112430848748,20340.523196,rela_nu,rela_f,rela_tp
model876,14.5269080287,8.21431453789,7.59071092848,5.17962156649,36.3007039082,23.9202391933,23.092202642,False,0.05025,1.903,0.0002623,294.3,293.6,294.03029403,0.0398789006556,7373.07922727,rela_nu,rela_f,rela_tp
model877,11.9316968909,6.93248062267,3.59533202186,6.49247520698,36.6338289261,31.8373939284,19.1662346174,False,0.04749,3.078,0.002165,294.4,293.7,294.03029403,0.0644654901188,4561.04953966,rela_nu,rela_f,rela_tp
model878,3.51735264735,12.7886466173,3.40557141676,5.17661216186,21.6012584926,39.1963057228,30.2871943615,False,0.05025,1.544,0.0005316,294.3,293.6,294.03029403,0.032349084684,9089.29253803,rela_nu,rela_f,rela_tp
model879,6.40748374852,9.62778324938,3.04282126859,1.22948658481,31.9874915782,34.0288273644,28.4898295043,False,0.05025,1.867,0.0004484,294.4,293.6,257.276507277,0.0391204871933,6576.51593155,rela_nu,rela_f,rela_tp
model880,10.2105760631,15.9556298748,10.042097384,12.47092472,30.8570951482,35.6349871992,17.5633677345,False,0.05025,0.7988,0.001988,294.4,293.6,257.276507277,0.0167001403237,15405.6494311,rela_nu,rela_f,rela_tp
model881,19.0328820136,3.12676787177,13.7907089788,2.73132247986,34.0879395377,9.22582641646,33.2412157214,False,0.05025,0.983,0.0003571,294.3,293.6,294.03029403,0.0205949136284,14276.8403566,rela_nu,rela_f,rela_tp
model882,5.47661771712,17.2218703171,2.6828155495,15.8517622336,15.2207285185,29.5140191564,31.3655128821,True,0.05025,0.7622,0.0003016,294.5,293.6,228.69022869,0.0159683968018,14321.4269741,rela_nu,rela_f,rela_tp
model883,15.5823511766,6.36949466069,9.14000699976,5.04616344791,36.1830813219,23.674876855,34.0186911269,False,0.05025,1.3,0.0004094,294.3,293.6,294.03029403,0.0272377240596,10794.9655921,rela_nu,rela_f,rela_tp
model884,18.43258769,11.161850242,16.2742457707,8.59971452891,27.2315468634,37.7627914214,28.4622749253,False,0.05025,0.6579,0.000259,294.4,293.6,257.276507277,0.0137832976695,18665.8166605,rela_nu,rela_f,rela_tp
model885,18.2915133976,11.6858665661,12.1989142005,3.14287297474,34.8183438647,36.1469038128,35.1810766106,False,0.05025,2.305,0.0006066,294.3,293.6,294.03029403,0.0482970802912,6087.95174071,rela_nu,rela_f,rela_tp
model886,11.791749282,18.3969173616,8.11829091343,17.6229067452,35.8556476083,26.7642950355,30.3089771456,False,0.05025,0.6652,0.0002885,294.5,293.6,228.69022869,0.0139356778674,16410.4129607,rela_nu,rela_f,rela_tp
model887,10.800981305,6.11087947654,4.06536599,0.450374188314,31.8702547785,15.7006820745,25.4192332181,False,0.05025,2.967,0.0004594,294.2,293.6,343.035343035,0.0621748220358,5517.27100784,rela_nu,rela_f,rela_tp
model888,9.05843684652,5.84492820803,7.42545163292,0.903729392584,12.9730160446,29.9131801308,28.4771361701,True,0.05025,1.003,0.0003468,294.5,293.6,228.69022869,0.0210143034191,10882.5985867,rela_nu,rela_f,rela_tp
model889,4.00928491476,4.32780037335,0.589734201799,2.75971893511,26.1898805797,9.35624391684,23.0797505904,False,0.05025,1.044,0.0003219,294.5,293.6,228.69022869,0.0218741318188,10454.8253885,rela_nu,rela_f,rela_tp
model890,18.3080303141,10.3458338833,9.87070532071,5.28500882244,33.3339172622,35.929973517,27.7425880899,False,0.04821,3.782,0.002282,294.3,293.7,343.035343035,0.0792179597999,4330.27237639,rela_nu,rela_f,rela_tp
model891,4.12359672491,8.04815194382,-0.0834136507501,0.561316588636,13.1891215636,35.4739011268,14.9453091143,True,0.05025,2.942,0.000608,294.3,293.6,294.03029403,0.0616477401784,4769.52266505,rela_nu,rela_f,rela_tp
model892,3.29197921615,5.42310007776,3.17475158714,-2.42329567583,13.603161227,17.9162995275,31.3097428467,True,0.05025,2.24,0.000284,294.3,293.6,294.03029403,0.046941526339,6263.75657039,rela_nu,rela_f,rela_tp
model893,4.45255258986,7.21053298149,2.13283719523,0.860009919658,28.5614498216,23.738376428,12.396018233,True,0.05025,3.125,0.002453,294.2,293.6,343.035343035,0.0654445127174,5241.62116565,rela_nu,rela_f,rela_tp
model894,9.51802478209,19.4861077244,8.41781317144,17.7923539307,17.8951987714,19.3137427057,31.740602397,False,0.05025,0.5897,0.00037,294.4,293.6,257.276507277,0.0123515882002,20829.4272046,rela_nu,rela_f,rela_tp
model895,4.36434732005,5.11675644524,3.28352581387,4.6498423167,37.2887566669,8.16543709576,25.7322380216,True,0.05025,0.4715,0.0002231,294.5,293.6,228.69022869,0.00987734918817,23152.9962476,rela_nu,rela_f,rela_tp
model896,5.23543175539,5.16753560526,4.88244597087,1.94330989374,37.229488919,22.3932086303,31.1541728457,False,0.05025,0.6526,0.000333,294.6,293.6,205.821205821,0.0136706656382,15055.6828225,rela_nu,rela_f,rela_tp
model897,18.0842450092,10.6925001003,9.58182487993,5.21733127355,37.5317432124,33.4107296275,27.8298144457,False,0.05025,3.541,0.0004342,294.2,293.6,343.035343035,0.0742056415884,4622.76635162,rela_nu,rela_f,rela_tp
model898,19.3131921533,4.29034422008,17.815799242,1.28455098696,19.4828344293,13.1181271915,39.5871062392,False,0.05025,0.8491,0.0002202,294.5,293.6,228.69022869,0.0177914135053,12853.9662474,rela_nu,rela_f,rela_tp
model899,4.9963227397,6.96522857659,-3.84884022113,-1.79782749998,22.6281344011,20.3702984052,32.5875275985,True,0.05025,4.681,0.0005416,294.2,293.6,343.035343035,0.0980963038449,3496.92424271,rela_nu,rela_f,rela_tp
model900,3.58233548672,6.65375508008,-2.40491757784,5.25891331678,35.4386340369,20.7126644117,22.319516414,True,0.05025,1.271,0.0002652,294.5,293.6,228.69022869,0.0266329441251,8586.74232995,rela_nu,rela_f,rela_tp
model901,17.9648467494,14.5010895174,9.55654758775,12.4495644946,38.6546813394,19.4896957803,33.4438721114,True,0.05025,2.816,0.0004162,294.2,293.6,343.035343035,0.0590109643845,5813.07807139,rela_nu,rela_f,rela_tp
model902,17.7774817967,4.43633728508,11.602663607,-2.31600816061,39.9135775555,29.9377466522,21.3406491581,True,0.05025,2.381,0.0007784,294.2,293.6,343.035343035,0.0498863404687,6876.33808799,rela_nu,rela_f,rela_tp
model903,7.54182645232,10.5977363434,1.96665141457,2.71017040482,21.0731319885,28.8299625957,28.7413641735,True,0.05025,2.809,0.0004261,294.3,293.6,294.03029403,0.0588640460228,4995.07447919,rela_nu,rela_f,rela_tp
